Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
1.0000e+05,2.091795e+00,-2.247465e-01,2.103834e+00,-6.1324
7.6095e+04,2.115307e+00,-2.763524e-01,2.133282e+00,-7.4432
5.7904e+04,2.145549e+00,-3.392019e-01,2.172197e+00,-8.9839
4.4062e+04,2.184682e+00,-4.153277e-01,2.223811e+00,-10.7640
3.3529e+04,2.235596e+00,-5.068539e-01,2.292333e+00,-12.7741
2.5514e+04,2.302118e+00,-6.157918e-01,2.383054e+00,-14.9754
1.9415e+04,2.389228e+00,-7.436774e-01,2.502292e+00,-17.2894
1.4774e+04,2.503194e+00,-8.909839e-01,2.657035e+00,-19.5926
1.1242e+04,2.651497e+00,-1.056268e+00,2.854144e+00,-21.7207
8.5547e+03,2.842305e+00,-1.235083e+00,3.099053e+00,-23.4867
6.5097e+03,3.083217e+00,-1.418890e+00,3.394035e+00,-24.7118
4.9535e+03,3.379074e+00,-1.594505e+00,3.736387e+00,-25.2615
3.7694e+03,3.729095e+00,-1.744893e+00,4.117135e+00,-25.0755
2.8683e+03,4.124334e+00,-1.852015e+00,4.521072e+00,-24.1823
2.1826e+03,4.547135e+00,-1.901470e+00,4.928694e+00,-22.6932
1.6609e+03,4.973842e+00,-1.887224e+00,5.319842e+00,-20.7782
1.2638e+03,5.380266e+00,-1.813866e+00,5.677797e+00,-18.6307
9.6172e+02,5.747431e+00,-1.695028e+00,5.992168e+00,-16.4318
7.3182e+02,6.064898e+00,-1.548931e+00,6.259567e+00,-14.3267
5.5688e+02,6.330757e+00,-1.393562e+00,6.482322e+00,-12.4143
4.2376e+02,6.549326e+00,-1.243447e+00,6.666320e+00,-10.7502
3.2246e+02,6.728243e+00,-1.108533e+00,6.818951e+00,-9.3559
2.4538e+02,6.876133e+00,-9.945627e-01,6.947687e+00,-8.2302
1.8672e+02,7.001186e+00,-9.041325e-01,7.059324e+00,-7.3584
1.4208e+02,7.110534e+00,-8.378149e-01,7.159723e+00,-6.7200
1.0812e+02,7.210125e+00,-7.950771e-01,7.253830e+00,-6.2927
8.2272e+01,7.304844e+00,-7.749306e-01,7.345833e+00,-6.0555
6.2605e+01,7.398740e+00,-7.763486e-01,7.439359e+00,-5.9901
4.7639e+01,7.495254e+00,-7.985154e-01,7.537669e+00,-6.0811
3.6251e+01,7.597428e+00,-8.409655e-01,7.643830e+00,-6.3164
2.7585e+01,7.708079e+00,-9.036572e-01,7.760868e+00,-6.6866
2.0991e+01,7.829937e+00,-9.870111e-01,7.891901e+00,-7.1846
1.5973e+01,7.965770e+00,-1.091930e+00,8.040262e+00,-7.8053
1.2155e+01,8.118479e+00,-1.219818e+00,8.209608e+00,-8.5449
9.2491e+00,8.291188e+00,-1.372595e+00,8.404036e+00,-9.4000
7.0381e+00,8.487328e+00,-1.552729e+00,8.628192e+00,-10.3674
5.3557e+00,8.710719e+00,-1.763264e+00,8.887391e+00,-11.4434
4.0754e+00,8.965653e+00,-2.007871e+00,9.187735e+00,-12.6232
3.1012e+00,9.256985e+00,-2.290908e+00,9.536248e+00,-13.9002
2.3598e+00,9.590229e+00,-2.617488e+00,9.941013e+00,-15.2661
1.7957e+00,9.971669e+00,-2.993573e+00,1.041132e+01,-16.7102
1.3664e+00,1.040847e+01,-3.426077e+00,1.095784e+01,-18.2196
1.0398e+00,1.090884e+01,-3.922987e+00,1.159279e+01,-19.7794
7.9123e-01,1.148215e+01,-4.493517e+00,1.233010e+01,-21.3728
6.0209e-01,1.213913e+01,-5.148265e+00,1.318572e+01,-22.9820
4.5816e-01,1.289208e+01,-5.899420e+00,1.417776e+01,-24.5889
3.4864e-01,1.375508e+01,-6.760978e+00,1.532687e+01,-26.1753
2.6529e-01,1.474427e+01,-7.749009e+00,1.665655e+01,-27.7247
2.0188e-01,1.587814e+01,-8.881949e+00,1.819352e+01,-29.2219
1.5362e-01,1.717789e+01,-1.018095e+01,1.996826e+01,-30.6543
1.1690e-01,1.866781e+01,-1.167027e+01,2.201550e+01,-32.0118
8.8951e-02,2.037575e+01,-1.337772e+01,2.437488e+01,-33.2870
6.7688e-02,2.233362e+01,-1.533521e+01,2.709169e+01,-34.4751
5.1507e-02,2.457803e+01,-1.757930e+01,3.021773e+01,-35.5740
3.9194e-02,2.715090e+01,-2.015193e+01,3.381230e+01,-36.5835
2.9825e-02,3.010033e+01,-2.310115e+01,3.794329e+01,-37.5052
2.2695e-02,3.348142e+01,-2.648208e+01,4.268848e+01,-38.3422
1.7270e-02,3.735737e+01,-3.035790e+01,4.813705e+01,-39.0985
1.3141e-02,4.180060e+01,-3.480103e+01,5.439119e+01,-39.7790
1.0000e-02,4.689414e+01,-3.989449e+01,6.156810e+01,-40.3890
