Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
1.0000e+05,1.845597e+00,-1.366229e-01,1.850647e+00,-4.2337
7.6095e+04,1.857407e+00,-1.703190e-01,1.865199e+00,-5.2392
5.7904e+04,1.872785e+00,-2.121803e-01,1.884767e+00,-6.4639
4.4062e+04,1.893002e+00,-2.640196e-01,1.911325e+00,-7.9399
3.3529e+04,1.919837e+00,-3.279233e-01,1.947641e+00,-9.6930
2.5514e+04,1.955780e+00,-4.061894e-01,1.997515e+00,-11.7328
1.9415e+04,2.004300e+00,-5.011625e-01,2.066006e+00,-14.0386
1.4774e+04,2.070139e+00,-6.148935e-01,2.159530e+00,-16.5430
1.1242e+04,2.159597e+00,-7.485211e-01,2.285638e+00,-19.1164
8.5547e+03,2.280604e+00,-9.012785e-01,2.452235e+00,-21.5636
6.5097e+03,2.442291e+00,-1.069103e+00,2.666039e+00,-23.6412
4.9535e+03,2.653568e+00,-1.243093e+00,2.930308e+00,-25.1013
3.7694e+03,2.920342e+00,-1.408569e+00,3.242293e+00,-25.7494
2.8683e+03,3.241609e+00,-1.546036e+00,3.591414e+00,-25.4981
2.1826e+03,3.606047e+00,-1.635208e+00,3.959480e+00,-24.3925
1.6609e+03,3.991831e+00,-1.661584e+00,4.323838e+00,-22.5993
1.2638e+03,4.371432e+00,-1.622375e+00,4.662780e+00,-20.3615
9.6172e+02,4.719659e+00,-1.527831e+00,4.960791e+00,-17.9376
7.3182e+02,5.020350e+00,-1.396976e+00,5.211090e+00,-15.5499
5.5688e+02,5.268367e+00,-1.250811e+00,5.414814e+00,-13.3558
4.2376e+02,5.467277e+00,-1.106935e+00,5.578210e+00,-11.4457
3.2246e+02,5.625383e+00,-9.773136e-01,5.709648e+00,-9.8558
2.4538e+02,5.752346e+00,-8.685574e-01,5.817549e+00,-8.5863
1.8672e+02,5.857189e+00,-7.833398e-01,5.909339e+00,-7.6175
1.4208e+02,5.947498e+00,-7.219209e-01,5.991152e+00,-6.9208
1.0812e+02,6.029331e+00,-6.833385e-01,6.067930e+00,-6.4661
8.2272e+01,6.107447e+00,-6.661984e-01,6.143674e+00,-6.2252
6.2605e+01,6.185628e+00,-6.691410e-01,6.221715e+00,-6.1741
4.7639e+01,6.266973e+00,-6.910921e-01,6.304963e+00,-6.2929
3.6251e+01,6.354153e+00,-7.313850e-01,6.396107e+00,-6.5660
2.7585e+01,6.449604e+00,-7.898103e-01,6.497784e+00,-6.9816
2.0991e+01,6.555679e+00,-8.666325e-01,6.612713e+00,-7.5306
1.5973e+01,6.674761e+00,-9.625926e-01,6.743813e+00,-8.2063
1.2155e+01,6.809363e+00,-1.078910e+00,6.894307e+00,-9.0034
9.2491e+00,6.962208e+00,-1.217289e+00,7.067824e+00,-9.9175
7.0381e+00,7.136304e+00,-1.379936e+00,7.268498e+00,-10.9441
5.3557e+00,7.335015e+00,-1.569584e+00,7.501069e+00,-12.0783
4.0754e+00,7.562138e+00,-1.789529e+00,7.770994e+00,-13.3137
3.1012e+00,7.821979e+00,-2.043686e+00,8.084554e+00,-14.6426
2.3598e+00,8.119442e+00,-2.336645e+00,8.448980e+00,-16.0550
1.7957e+00,8.460122e+00,-2.673756e+00,8.872577e+00,-17.5387
1.3664e+00,8.850411e+00,-3.061218e+00,9.364872e+00,-19.0797
1.0398e+00,9.297626e+00,-3.506192e+00,9.936761e+00,-20.6618
7.9123e-01,9.810140e+00,-4.016930e+00,1.060069e+01,-22.2675
6.0209e-01,1.039754e+01,-4.602925e+00,1.137083e+01,-23.8787
4.5816e-01,1.107082e+01,-5.275088e+00,1.226335e+01,-25.4771
3.4864e-01,1.184257e+01,-6.045949e+00,1.329661e+01,-27.0455
2.6529e-01,1.272721e+01,-6.929886e+00,1.449155e+01,-28.5680
2.0188e-01,1.374127e+01,-7.943399e+00,1.587199e+01,-30.0309
1.5362e-01,1.490373e+01,-9.105410e+00,1.746509e+01,-31.4228
1.1690e-01,1.623629e+01,-1.043762e+01,1.930184e+01,-32.7353
8.8951e-02,1.776386e+01,-1.196492e+01,2.141761e+01,-33.9624
6.7688e-02,1.951500e+01,-1.371584e+01,2.385287e+01,-35.1009
5.1507e-02,2.152242e+01,-1.572308e+01,2.665389e+01,-36.1498
3.9194e-02,2.382364e+01,-1.802416e+01,2.987367e+01,-37.1099
2.9825e-02,2.646166e+01,-2.066208e+01,3.357292e+01,-37.9838
2.2695e-02,2.948578e+01,-2.368612e+01,3.782121e+01,-38.7751
1.7270e-02,3.295252e+01,-2.715279e+01,4.269827e+01,-39.4884
1.3141e-02,3.692666e+01,-3.112686e+01,4.829554e+01,-40.1288
1.0000e-02,4.148245e+01,-3.568262e+01,5.471785e+01,-40.7017
