循环号,放电比容量(mAh/g),充电比容量(mAh/g),充放电效率
2,115.8635,116.5139,99.4418
3,115.2281,114.2508,100.8554
4,114.3211,119.8916,95.3538
5,113.3868,115.3399,98.3067
6,113.0906,113.6668,99.4931
7,112.4635,114.3138,98.3815
8,111.6248,112.3336,99.369
9,110.6607,111.7751,99.003
10,109.941,109.4631,100.4366
11,109.7954,110.3776,99.4725
12,108.5638,107.8481,100.6636
13,108.2298,107.6634,100.5261
14,107.4844,108.7484,98.8377
15,106.9559,106.7763,100.1682
16,106.0139,106.2196,99.8063
17,105.6079,103.5401,101.9972
18,104.5224,105.8899,98.7086
19,103.9684,105.1605,98.8664
20,103.4952,102.4303,101.0396
21,102.538,102.1199,100.4094
22,102.2083,103.318,98.9259
23,101.3185,102.2298,99.1086
24,100.5781,100.2214,100.3559
25,100.1198,98.5758,101.5663
26,99.2856,101.2755,98.0352
27,98.8732,100.1982,98.6776
28,98.1606,96.7522,101.4557
29,97.2416,99.1929,98.0328
30,96.4795,97.048,99.4142
31,95.9556,95.0738,100.9275
32,95.0827,94.7395,100.3623
33,94.3215,95.7604,98.4974
34,94.066,94.8532,99.17
35,92.943,91.7579,101.2916
36,92.65,92.4162,100.253
37,91.5038,92.6881,98.7222
38,91.1958,91.5923,99.5671
39,90.2037,89.3386,100.9683
40,89.8534,88.6779,101.3256
41,88.9244,88.3434,100.6576
42,88.3307,89.7194,98.4522
43,87.5995,87.9464,99.6056
44,86.7045,86.8611,99.8198
45,86.4302,86.4596,99.9659
46,85.8731,84.8567,101.1977
47,85.2081,85.7331,99.3876
48,84.0925,85.5756,98.267
49,83.7224,82.3265,101.6955
50,82.8492,83.957,98.6805
51,82.2245,81.5877,100.7805
52,81.2848,82.6366,98.3641
53,81.0411,81.2675,99.7214
54,80.3853,81.3941,98.7606
55,79.245,79.1492,100.121
56,78.988,80.5845,98.0189
57,78.3216,79.2133,98.8743
58,77.4998,77.5625,99.9192
59,76.5026,77.1397,99.1741
60,75.8993,74.4342,101.9682
61,75.2908,75.0625,100.3041
62,74.4575,74.481,99.9685
63,74.055,74.116,99.9177
64,73.1956,74.4235,98.3501
65,72.7949,72.1963,100.8291
66,71.6674,72.7543,98.506
67,71.2817,71.1919,100.1262
68,70.6757,70.627,100.0689
69,70.0873,69.7334,100.5075
70,69.2973,68.2075,101.5978
71,68.3845,68.1304,100.3729
72,67.7945,67.2929,100.7454
73,67.3577,66.0681,101.9519
74,66.3518,67.1444,98.8195
75,65.6288,66.7741,98.2848
76,65.0785,66.0424,98.5405
77,64.2316,63.0919,101.8064
78,64.0132,63.0888,101.4652
79,63.2999,63.2198,100.1267
80,62.6085,63.1655,99.1183
81,61.4107,61.3986,100.0197
82,61.2662,60.1893,101.7893
83,60.2391,59.4585,101.3128
84,59.3818,60.0742,98.8474
85,58.9209,58.8403,100.1369
86,58.3156,59.3898,98.1912
87,57.6067,58.1499,99.0659
88,56.8487,57.2431,99.3109
89,55.9307,56.508,98.9783
90,55.596,55.8897,99.4744
91,54.8149,53.8705,101.7532
92,54.389,53.5697,101.5293
93,53.774,52.9275,101.5995
94,52.8009,52.5835,100.4133
95,52.0779,52.4307,99.3272
96,51.2292,50.8018,100.8413
97,50.5924,50.0572,101.0692
98,50.2769,49.6508,101.261
99,49.2805,48.7946,100.9958
