循环号,放电比容量(mAh/g),充电比容量(mAh/g),充放电效率
2,117.4974,117.9085,99.6513
3,116.7843,117.7016,99.2206
4,116.4045,119.957,97.0385
5,115.7517,117.0245,98.9124
6,115.3738,116.2451,99.2504
7,114.2981,112.4878,101.6093
8,114.0979,114.3247,99.8016
9,113.2744,111.9957,101.1417
10,112.7557,110.8668,101.7038
11,111.7316,111.9845,99.7742
12,111.4794,112.2847,99.2828
13,110.6044,110.1419,100.4198
14,110.1612,110.408,99.7765
15,109.1972,110.9348,98.4336
16,108.8023,109.3986,99.455
17,108.4971,106.4265,101.9456
18,107.4428,108.5642,98.9671
19,107.226,106.8929,100.3116
20,106.2936,105.12,101.1164
21,105.8615,104.2515,101.5444
22,105.0453,103.7471,101.2513
23,104.679,105.1477,99.5543
24,103.4903,105.1392,98.4317
25,103.2409,103.4075,99.8389
26,102.688,101.9067,100.7668
27,101.9855,101.6604,100.3198
28,101.3497,103.1065,98.2962
29,100.5768,100.281,100.295
30,100.1728,100.9457,99.2344
31,99.0995,100.8337,98.2802
32,98.6109,99.1322,99.4741
33,98.3823,97.8522,100.5417
34,97.2859,97.1539,100.1358
35,96.8132,97.9967,98.7923
36,96.2876,98.0483,98.2043
37,95.5775,97.5245,98.0036
38,95.1267,96.9066,98.1633
39,94.1105,92.8223,101.3879
40,93.5182,94.4085,99.057
41,93.2313,93.4968,99.716
42,92.1625,91.0261,101.2484
43,91.4627,91.8332,99.5966
44,91.0023,90.0654,101.0402
45,90.5998,89.4054,101.3359
46,89.7656,90.141,99.5836
47,89.1988,88.2677,101.0549
48,88.7843,90.0163,98.6314
49,87.6663,89.3128,98.1564
50,87.4519,87.1361,100.3624
51,86.4216,86.9302,99.4149
52,86.3493,87.6749,98.4881
53,85.1385,83.6316,101.8018
54,85.0027,84.7682,100.2766
55,84.2337,84.1179,100.1376
56,83.3462,82.1365,101.4728
57,83.0495,82.1018,101.1543
58,81.9961,80.9866,101.2465
59,81.3925,81.8415,99.4514
60,80.7375,81.8634,98.6246
61,80.6417,81.4669,98.987
62,79.6525,79.4079,100.308
63,78.8281,79.2241,99.5002
64,78.5048,76.9789,101.9823
65,78.0833,78.9027,98.9614
66,77.3355,78.7975,98.1447
67,76.8577,78.1697,98.3217
68,75.7909,76.5666,98.9868
69,75.4666,76.9102,98.123
70,74.5698,74.6418,99.9036
71,74.1433,74.9187,98.965
72,73.585,72.9939,100.8098
73,73.0063,74.422,98.0978
74,72.2836,72.305,99.9703
75,71.4085,71.3405,100.0953
76,71.0257,71.3228,99.5835
77,70.461,70.7148,99.6412
78,69.4368,69.215,100.3203
79,68.7662,70.1465,98.0322
80,68.0951,68.1686,99.8922
81,67.5139,67.0988,100.6187
82,67.2254,68.0127,98.8423
83,66.3967,67.6963,98.0803
84,66.0964,65.6802,100.6336
85,65.459,64.5392,101.4253
86,64.6303,65.5399,98.6121
87,64.1556,62.9843,101.8597
88,63.309,64.2148,98.5893
89,62.567,63.6623,98.2796
90,61.8142,60.6662,101.8923
91,61.1415,61.3345,99.6852
92,60.6532,61.6731,98.3462
93,60.3234,60.529,99.6604
94,59.7829,60.848,98.2496
95,58.5885,59.3761,98.6735
96,58.1437,58.0914,100.0901
97,57.3978,57.7191,99.4433
98,56.9295,57.3898,99.1979
99,56.5896,57.3852,98.6137
