Temperature(℃),HeatFlow(mW/mg)
30,0.0517
32,0.0321
34,0.0549
36,0.0342
38,0.0441
40,0.0588
42,0.0575
44,0.0413
46,0.0476
48,0.0495
50,0.0375
52,0.0665
54,0.0663
56,0.0367
58,0.0593
60,0.0585
62,0.0336
64,0.0719
66,0.0538
68,0.0653
70,0.0739
72,0.0592
74,0.0607
76,0.0687
78,0.0795
80,0.0676
82,0.0822
84,0.0862
86,0.1128
88,0.1105
90,0.1284
92,0.1385
94,0.1461
96,0.1582
98,0.1416
100,0.1329
102,0.1628
104,0.1492
106,0.1215
108,0.1484
110,0.1391
112,0.12
114,0.1296
116,0.1049
118,0.0913
120,0.0726
122,0.0654
124,0.0733
126,0.0814
128,0.0735
130,0.0754
132,0.0382
134,0.0474
136,0.0509
138,0.0607
140,0.0541
142,0.0364
144,0.0391
146,0.0646
148,0.0542
150,0.038
152,0.0536
154,0.0643
156,0.034
158,0.0474
160,0.0462
162,0.0616
164,0.0453
166,0.0693
168,0.0662
170,0.0574
172,0.041
174,0.0512
176,0.0583
178,0.0392
180,0.0313
182,0.0441
184,0.0671
186,0.0552
188,0.0441
190,0.0305
192,0.0673
194,0.0694
196,0.0315
198,0.0522
200,0.0572
202,0.041
204,0.0362
206,0.067
208,0.0369
210,0.0423
212,0.0586
214,0.0306
216,0.0389
218,0.0655
220,0.0531
222,0.0388
224,0.0526
226,0.0433
228,0.0427
230,0.0424
232,0.0612
234,0.0416
236,0.0413
238,0.0616
240,0.0321
242,0.0641
244,0.037
246,0.0438
248,0.0312
250,0.0519
252,0.0485
254,0.057
256,0.0419
258,0.0592
260,0.0619
262,0.0391
264,0.0315
266,0.0522
268,0.0359
270,0.041
272,0.0577
274,0.038
276,0.0525
278,0.0398
280,0.0544
282,0.0698
284,0.0644
286,0.0313
288,0.0329
290,0.0672
292,0.0597
294,0.0354
296,0.0537
298,0.031
300,0.0665
302,0.0318
304,0.0322
306,0.0522
308,0.0397
310,0.0521
312,0.054
314,0.0607
316,0.0331
318,0.0455
320,0.0453
322,0.0356
324,0.0443
326,0.0578
328,0.0469
330,0.0365
332,0.0629
334,0.0309
336,0.0508
338,0.0455
340,0.055
342,0.0643
344,0.0327
346,0.0592
348,0.03
350,0.0536
