Time(s),T1_center(℃),T2_surface(℃),T3_tab(℃)
0,25.0,25.0,25.0
1,25.0,25.0,25.0
2,25.0,25.0,25.0
3,25.0,25.0,25.0
4,25.0,25.0,25.0
5,25.0,25.0,25.0
6,25.0,25.0,25.0
7,25.0,25.0,25.0
8,25.0,25.0,25.0
9,25.0,25.0,25.0
10,25.0,25.0,25.0
11,25.0,25.0,25.0
12,25.0,25.0,25.0
13,25.0,25.0,25.0
14,25.0,25.0,25.0
15,25.0,25.0,25.0
16,25.0,25.0,25.0
17,25.0,25.0,25.0
18,25.0,25.0,25.0
19,25.0,25.0,25.0
20,25.0,25.0,25.0
21,25.0,25.0,25.0
22,25.0,25.0,25.0
23,25.0,25.0,25.0
24,25.0,25.0,25.0
25,25.0,25.0,25.0
26,25.0,25.0,25.0
27,25.0,25.0,25.0
28,25.0,25.0,25.0
29,25.0,25.0,25.0
30,25.0,25.0,25.0
31,25.0,25.0,25.0
32,25.0,25.0,25.0
33,25.0,25.0,25.0
34,25.0,25.0,25.0
35,25.0,25.0,25.0
36,25.0,25.0,25.0
37,25.0,25.0,25.0
38,25.0,25.0,25.0
39,25.0,25.0,25.0
40,25.0,25.0,25.0
41,25.0,25.0,25.0
42,25.0,25.0,25.0
43,25.0,25.0,25.0
44,25.0,25.0,25.0
45,25.0,25.0,25.0
46,25.0,25.0,25.0
47,25.0,25.0,25.0
48,25.0,25.0,25.0
49,25.0,25.0,25.0
50,25.0,25.0,25.0
51,25.0,25.0,25.0
52,25.0,25.0,25.0
53,25.0,25.0,25.0
54,25.0,25.0,25.0
55,25.0,25.0,25.0
56,25.0,25.0,25.0
57,25.0,25.0,25.0
58,25.0,25.0,25.0
59,25.0,25.0,25.0
60,25.0,25.0,25.0
61,25.0,25.0,25.0
62,25.0,25.0,25.0
63,25.0,25.0,25.0
64,25.0,25.0,25.0
65,25.0,25.0,25.0
66,25.0,25.0,25.0
67,25.0,25.0,25.0
68,25.0,25.0,25.0
69,25.0,25.0,25.0
70,25.0,25.0,25.0
71,25.0,25.0,25.0
72,25.0,25.0,25.0
73,25.0,25.0,25.0
74,25.0,25.0,25.0
75,25.0,25.0,25.0
76,25.0,25.0,25.0
77,25.0,25.0,25.0
78,25.0,25.0,25.0
79,25.0,25.0,25.0
80,25.0,25.0,25.0
81,25.0,25.0,25.0
82,25.0,25.0,25.0
83,25.0,25.0,25.0
84,25.0,25.0,25.0
85,25.0,25.0,25.0
