Cycle,Step,Capacity(Ah),Energy(Wh),Voltage(V),Current(A)
1,CC_Chg,2.4482,9.2433,4.2,1.25
1,CC_DChg,2.4982,7.9942,2.5,-2.5
2,CC_Chg,2.4461,9.2354,4.2,1.25
2,CC_DChg,2.4961,7.9874,2.5,-2.5
3,CC_Chg,2.4438,9.2266,4.2,1.25
3,CC_DChg,2.4937,7.9797,2.5,-2.5
4,CC_Chg,2.4417,9.2188,4.2,1.25
4,CC_DChg,2.4916,7.973,2.5,-2.5
5,CC_Chg,2.4397,9.2109,4.2,1.25
5,CC_DChg,2.4894,7.9662,2.5,-2.5
6,CC_Chg,2.4377,9.2035,4.2,1.25
6,CC_DChg,2.4874,7.9598,2.5,-2.5
7,CC_Chg,2.4353,9.1947,4.2,1.25
7,CC_DChg,2.485,7.9522,2.5,-2.5
8,CC_Chg,2.4337,9.1884,4.2,1.25
8,CC_DChg,2.4834,7.9467,2.5,-2.5
9,CC_Chg,2.4316,9.1804,4.2,1.25
9,CC_DChg,2.4812,7.9398,2.5,-2.5
10,CC_Chg,2.4295,9.1726,4.2,1.25
10,CC_DChg,2.4791,7.9331,2.5,-2.5
11,CC_Chg,2.4272,9.1638,4.2,1.25
11,CC_DChg,2.4767,7.9254,2.5,-2.5
12,CC_Chg,2.4248,9.1549,4.2,1.25
12,CC_DChg,2.4743,7.9178,2.5,-2.5
13,CC_Chg,2.4231,9.1486,4.2,1.25
13,CC_DChg,2.4726,7.9123,2.5,-2.5
14,CC_Chg,2.421,9.1405,4.2,1.25
14,CC_DChg,2.4704,7.9053,2.5,-2.5
15,CC_Chg,2.4188,9.1321,4.2,1.25
15,CC_DChg,2.4681,7.898,2.5,-2.5
16,CC_Chg,2.4171,9.1259,4.2,1.25
16,CC_DChg,2.4665,7.8926,2.5,-2.5
17,CC_Chg,2.4148,9.1172,4.2,1.25
17,CC_DChg,2.4641,7.8852,2.5,-2.5
18,CC_Chg,2.4127,9.1093,4.2,1.25
18,CC_DChg,2.462,7.8783,2.5,-2.5
19,CC_Chg,2.4107,9.1016,4.2,1.25
19,CC_DChg,2.4599,7.8717,2.5,-2.5
20,CC_Chg,2.4086,9.0938,4.2,1.25
20,CC_DChg,2.4578,7.8649,2.5,-2.5
21,CC_Chg,2.407,9.0878,4.2,1.25
21,CC_DChg,2.4562,7.8597,2.5,-2.5
22,CC_Chg,2.405,9.0802,4.2,1.25
22,CC_DChg,2.4541,7.8531,2.5,-2.5
23,CC_Chg,2.4027,9.0716,4.2,1.25
23,CC_DChg,2.4518,7.8457,2.5,-2.5
24,CC_Chg,2.4008,9.0644,4.2,1.25
24,CC_DChg,2.4498,7.8395,2.5,-2.5
25,CC_Chg,2.3991,9.0579,4.2,1.25
25,CC_DChg,2.4481,7.8338,2.5,-2.5
26,CC_Chg,2.3969,9.0495,4.2,1.25
26,CC_DChg,2.4458,7.8266,2.5,-2.5
27,CC_Chg,2.3952,9.0431,4.2,1.25
27,CC_DChg,2.4441,7.8211,2.5,-2.5
28,CC_Chg,2.3932,9.0357,4.2,1.25
28,CC_DChg,2.4421,7.8147,2.5,-2.5
29,CC_Chg,2.3909,9.0268,4.2,1.25
29,CC_DChg,2.4397,7.807,2.5,-2.5
30,CC_Chg,2.3889,9.0192,4.2,1.25
30,CC_DChg,2.4376,7.8004,2.5,-2.5
31,CC_Chg,2.3866,9.0107,4.2,1.25
31,CC_DChg,2.4353,7.793,2.5,-2.5
32,CC_Chg,2.385,9.0045,4.2,1.25
32,CC_DChg,2.4337,7.7877,2.5,-2.5
33,CC_Chg,2.3832,8.9978,4.2,1.25
33,CC_DChg,2.4318,7.7819,2.5,-2.5
34,CC_Chg,2.3809,8.989,4.2,1.25
34,CC_DChg,2.4295,7.7743,2.5,-2.5
35,CC_Chg,2.3786,8.9804,4.2,1.25
35,CC_DChg,2.4271,7.7669,2.5,-2.5
36,CC_Chg,2.3767,8.9733,4.2,1.25
36,CC_DChg,2.4252,7.7607,2.5,-2.5
37,CC_Chg,2.3745,8.9648,4.2,1.25
37,CC_DChg,2.4229,7.7533,2.5,-2.5
38,CC_Chg,2.3725,8.9574,4.2,1.25
38,CC_DChg,2.4209,7.7469,2.5,-2.5
39,CC_Chg,2.3706,8.9502,4.2,1.25
39,CC_DChg,2.419,7.7407,2.5,-2.5
40,CC_Chg,2.369,8.9441,4.2,1.25
40,CC_DChg,2.4173,7.7354,2.5,-2.5
41,CC_Chg,2.3669,8.9362,4.2,1.25
41,CC_DChg,2.4152,7.7286,2.5,-2.5
42,CC_Chg,2.365,8.929,4.2,1.25
42,CC_DChg,2.4132,7.7224,2.5,-2.5
43,CC_Chg,2.3628,8.9206,4.2,1.25
43,CC_DChg,2.411,7.7151,2.5,-2.5
44,CC_Chg,2.3605,8.9123,4.2,1.25
44,CC_DChg,2.4087,7.7079,2.5,-2.5
45,CC_Chg,2.3586,8.905,4.2,1.25
45,CC_DChg,2.4067,7.7016,2.5,-2.5
46,CC_Chg,2.3569,8.8986,4.2,1.25
46,CC_DChg,2.405,7.6961,2.5,-2.5
47,CC_Chg,2.355,8.8913,4.2,1.25
47,CC_DChg,2.4031,7.6898,2.5,-2.5
48,CC_Chg,2.353,8.8837,4.2,1.25
48,CC_DChg,2.401,7.6832,2.5,-2.5
49,CC_Chg,2.3508,8.8756,4.2,1.25
49,CC_DChg,2.3988,7.6762,2.5,-2.5
50,CC_Chg,2.3487,8.8674,4.2,1.25
50,CC_DChg,2.3966,7.6691,2.5,-2.5
51,CC_Chg,2.3467,8.86,4.2,1.25
51,CC_DChg,2.3946,7.6627,2.5,-2.5
52,CC_Chg,2.3445,8.8517,4.2,1.25
52,CC_DChg,2.3924,7.6556,2.5,-2.5
53,CC_Chg,2.3429,8.8455,4.2,1.25
53,CC_DChg,2.3907,7.6502,2.5,-2.5
54,CC_Chg,2.3409,8.8379,4.2,1.25
54,CC_DChg,2.3886,7.6436,2.5,-2.5
55,CC_Chg,2.339,8.831,4.2,1.25
55,CC_DChg,2.3867,7.6376,2.5,-2.5
56,CC_Chg,2.3373,8.8243,4.2,1.25
56,CC_DChg,2.385,7.6319,2.5,-2.5
57,CC_Chg,2.3354,8.8173,4.2,1.25
57,CC_DChg,2.3831,7.6258,2.5,-2.5
58,CC_Chg,2.3332,8.8089,4.2,1.25
58,CC_DChg,2.3808,7.6185,2.5,-2.5
59,CC_Chg,2.3311,8.8012,4.2,1.25
59,CC_DChg,2.3787,7.6118,2.5,-2.5
60,CC_Chg,2.3293,8.7945,4.2,1.25
60,CC_DChg,2.3769,7.606,2.5,-2.5
61,CC_Chg,2.3277,8.7881,4.2,1.25
61,CC_DChg,2.3752,7.6005,2.5,-2.5
62,CC_Chg,2.326,8.7819,4.2,1.25
