循环号,放电比容量(mAh/g),充电比容量(mAh/g),充放电效率
2,113.7115,116.5493,97.5651
3,113.2555,117.3147,96.5399
4,113.0023,111.4323,101.4089
5,112.5475,115.023,97.8478
6,111.9243,112.2897,99.6746
7,111.349,112.4061,99.0595
8,110.9797,112.9991,98.2129
9,110.4687,111.0499,99.4766
10,109.9059,111.8199,98.2883
11,109.3585,107.5418,101.6893
12,109.3016,110.9619,98.5038
13,108.87,107.5903,101.1893
14,108.2935,108.4801,99.828
15,107.4321,105.5615,101.7721
16,107.1994,105.1842,101.9158
17,107.0807,108.3841,98.7974
18,106.4124,106.5729,99.8494
19,105.9277,105.0425,100.8427
20,105.3202,106.7047,98.7024
21,104.772,103.0698,101.6515
22,104.6656,102.7615,101.8529
23,103.8863,105.6353,98.3443
24,103.3946,101.8074,101.559
25,103.3896,104.4067,99.0258
26,102.5548,104.0765,98.5379
27,102.4089,102.6593,99.7561
28,102.0589,101.3648,100.6848
29,101.2762,101.2547,100.0213
30,100.7572,98.9555,101.8207
31,100.5211,100.9306,99.5943
32,100.2124,98.4192,101.822
33,99.6689,100.6252,99.0497
34,99.1752,98.6497,100.5327
35,98.6466,100.0712,98.5764
36,98.1556,97.7862,100.3778
37,97.7455,95.9467,101.8748
38,96.9658,97.1034,99.8583
39,96.7447,98.0001,98.719
40,96.5088,98.3262,98.1516
41,95.5598,96.8352,98.683
42,95.0616,93.7273,101.4236
43,94.7404,93.0409,101.8266
44,94.3095,95.8636,98.3789
45,94.1824,94.1009,100.0866
46,93.213,93.3544,99.8485
47,93.212,91.9313,101.3932
48,92.3234,91.6169,100.7711
49,92.2403,91.2998,101.0301
50,91.563,90.2746,101.4272
51,91.2311,90.5286,100.776
52,90.6015,90.2211,100.4216
53,90.4027,90.0758,100.3629
54,89.6371,90.2212,99.3525
55,89.589,90.7673,98.7018
56,89.1751,88.6175,100.6292
57,88.3301,86.7748,101.7923
58,88.0465,89.1583,98.753
59,87.4099,87.0345,100.4312
60,86.8607,86.1166,100.8642
61,86.6124,87.8208,98.624
62,86.4229,87.3552,98.9328
63,85.615,86.8162,98.6163
64,85.1285,86.4825,98.4343
65,85.0549,85.6651,99.2877
66,84.4353,85.9467,98.2416
67,83.9887,84.9564,98.8609
68,83.3457,82.1173,101.4959
69,82.8363,82.6334,100.2456
70,82.3067,81.913,100.4806
71,81.8654,80.635,101.5258
72,81.2629,79.8093,101.8213
73,81.1184,82.351,98.5033
74,80.5899,79.352,101.5601
75,80.2604,81.7329,98.1983
76,79.9077,79.6264,100.3533
77,79.4559,78.377,101.3766
78,78.8361,78.3196,100.6594
79,78.3826,77.9612,100.5405
80,77.7037,78.2562,99.2939
81,77.422,77.9914,99.2699
82,77.1775,78.4558,98.3708
83,76.7129,77.4651,99.0289
84,75.8346,76.1863,99.5385
85,75.5236,74.1246,101.8873
86,75.3581,74.5245,101.1185
87,74.4404,75.7321,98.2944
88,74.3186,74.6147,99.6032
89,73.473,74.493,98.6308
90,73.4455,72.657,101.0851
91,72.7083,71.9461,101.0594
92,72.532,72.5881,99.9227
93,71.838,71.3598,100.6702
94,71.2373,70.7866,100.6366
95,71.2363,71.3227,99.8789
96,70.4628,71.7989,98.1391
97,69.9369,70.7448,98.858
98,69.88,68.7841,101.5933
99,68.8921,70.2371,98.0851
