Cycle,Step,Capacity(Ah),Energy(Wh),Voltage(V),Current(A)
1,CC_Chg,2.4498108575069537,9.249285890587478,4.2,1.25
1,CC_DChg,2.499806997456075,7.999382391859441,2.5,-2.5
2,CC_Chg,2.449577361020276,9.248404322219411,4.2,1.25
2,CC_DChg,2.4995687357349756,7.9986199543519225,2.5,-2.5
3,CC_Chg,2.449380364100271,9.247660558337758,4.2,1.25
3,CC_DChg,2.499367718469664,7.997976699102925,2.5,-2.5
4,CC_Chg,2.449156586911221,9.246815685277058,4.2,1.25
4,CC_DChg,2.499139374399205,7.997245998077457,2.5,-2.5
5,CC_Chg,2.4489988848456976,9.24622027951947,4.2,1.25
5,CC_DChg,2.498978453924181,7.996731052557379,2.5,-2.5
6,CC_Chg,2.4487962461739268,9.245455215146459,4.2,1.25
6,CC_DChg,2.498771679769313,7.9960693752618015,2.5,-2.5
7,CC_Chg,2.448589622324178,9.244675104693327,4.2,1.25
7,CC_DChg,2.4985608391063043,7.995394685140174,2.5,-2.5
8,CC_Chg,2.4483575388282492,9.243798871086248,4.2,1.25
8,CC_DChg,2.4983240192124994,7.994636861479998,2.5,-2.5
9,CC_Chg,2.4481879645224085,9.243158641564195,4.2,1.25
9,CC_DChg,2.4981509842065392,7.994083149460926,2.5,-2.5
10,CC_Chg,2.4479802364434833,9.24237436208254,4.2,1.25
10,CC_DChg,2.4979390167790645,7.993404853693007,2.5,-2.5
11,CC_Chg,2.4477516449630365,9.241511312615547,4.2,1.25
11,CC_DChg,2.497705760166364,7.992658432532365,2.5,-2.5
12,CC_Chg,2.4475396999555747,9.240711112077172,4.2,1.25
12,CC_DChg,2.4974894897505866,7.9919663672018775,2.5,-2.5
13,CC_Chg,2.4473279617508035,9.239911692324464,4.2,1.25
13,CC_DChg,2.497273430357963,7.991274977145482,2.5,-2.5
14,CC_Chg,2.447125736560347,9.239148189054372,4.2,1.25
14,CC_DChg,2.4970670781228033,7.99061464999297,2.5,-2.5
15,CC_Chg,2.446930413450355,9.238410744659504,4.2,1.25
15,CC_DChg,2.4968677688268928,7.989976860246057,2.5,-2.5
16,CC_Chg,2.4467219289858124,9.237623609436232,4.2,1.25
16,CC_DChg,2.4966550295773597,7.9892960946475515,2.5,-2.5
17,CC_Chg,2.446499228364245,9.236782800967049,4.2,1.25
17,CC_DChg,2.496427784045148,7.988568908944474,2.5,-2.5
18,CC_Chg,2.446270952144443,9.235920941769836,4.2,1.25
18,CC_DChg,2.4961948491269825,7.987823517206344,2.5,-2.5
19,CC_Chg,2.4460937778713525,9.235252018493883,4.2,1.25
19,CC_DChg,2.4960140590524005,7.9872449889676815,2.5,-2.5
20,CC_Chg,2.4458965847018312,9.234507513670179,4.2,1.25
20,CC_DChg,2.495812841532481,7.986601092903939,2.5,-2.5
21,CC_Chg,2.445700294637487,9.233766418529289,4.2,1.25
21,CC_DChg,2.495612545548456,7.98596014575506,2.5,-2.5
22,CC_Chg,2.4455048097577117,9.233028363370954,4.2,1.25
22,CC_DChg,2.4954130711813387,7.985321827780284,2.5,-2.5
23,CC_Chg,2.44532595529249,9.232353096512464,4.2,1.25
23,CC_DChg,2.49523056662499,7.984737813199968,2.5,-2.5
24,CC_Chg,2.4451344377619852,9.23163002012178,4.2,1.25
24,CC_DChg,2.4950351405734543,7.984112449835054,2.5,-2.5
25,CC_Chg,2.444949318761473,9.230931101446378,4.2,1.25
25,CC_DChg,2.4948462436341563,7.983507979629301,2.5,-2.5
26,CC_Chg,2.444773173375736,9.230266062745127,4.2,1.25
26,CC_DChg,2.4946665034446287,7.982932811022812,2.5,-2.5
27,CC_Chg,2.4446145328056597,9.229667113654022,4.2,1.25
27,CC_DChg,2.494504625311898,7.9824148009980735,2.5,-2.5
28,CC_Chg,2.4443833477133294,9.228794271978897,4.2,1.25
28,CC_DChg,2.4942687221564586,7.981659910900667,2.5,-2.5
29,CC_Chg,2.444182911512617,9.228037523057841,4.2,1.25
29,CC_DChg,2.494064195421038,7.9810054253473215,2.5,-2.5
30,CC_Chg,2.4439478005004287,9.227149859032231,4.2,1.25
30,CC_DChg,2.4938242862249274,7.980237715919768,2.5,-2.5
31,CC_Chg,2.4437904228524014,9.22655567811621,4.2,1.25
31,CC_DChg,2.4936636967881647,7.979723829722127,2.5,-2.5
32,CC_Chg,2.443580342156135,9.225762516303774,4.2,1.25
32,CC_DChg,2.4934493287307498,7.9790378519384,2.5,-2.5
33,CC_Chg,2.4433511716448457,9.22489728069993,4.2,1.25
33,CC_DChg,2.493215481270251,7.978289540064804,2.5,-2.5
34,CC_Chg,2.443161211165077,9.224180082970188,4.2,1.25
34,CC_DChg,2.4930216440459967,7.97766926094719,2.5,-2.5
35,CC_Chg,2.4429333370448707,9.223319741904104,4.2,1.25
35,CC_DChg,2.4927891194335414,7.976925182187333,2.5,-2.5
36,CC_Chg,2.442733298439941,9.22256449410998,4.2,1.25
36,CC_DChg,2.4925849984081028,7.976271994905929,2.5,-2.5
37,CC_Chg,2.442542126619273,9.221842722950317,4.2,1.25
37,CC_DChg,2.492389925121707,7.975647760389463,2.5,-2.5
38,CC_Chg,2.4423515065485994,9.221123034928386,4.2,1.25
38,CC_DChg,2.4921954148455097,7.975025327505631,2.5,-2.5
39,CC_Chg,2.442122218982333,9.220257357382279,4.2,1.25
39,CC_DChg,2.491961447941156,7.9742766334117,2.5,-2.5
40,CC_Chg,2.4419569712098914,9.219633462731222,4.2,1.25
40,CC_DChg,2.4917928277651953,7.973737048848625,2.5,-2.5
41,CC_Chg,2.4417845388166883,9.218982442471171,4.2,1.25
41,CC_DChg,2.4916168763435596,7.973174004299391,2.5,-2.5
42,CC_Chg,2.4416124553356013,9.218332739532372,4.2,1.25
