Cycle,Step,Capacity(Ah),Voltage(V)
1,CC_DChg,1.0996685691909756,3.0
2,CC_DChg,1.0998336971552307,3.0
3,CC_DChg,1.0999131454059745,3.0
4,CC_DChg,1.0982687932265363,3.0
5,CC_DChg,1.097638251290546,3.0
6,CC_DChg,1.0970372621086528,3.0
7,CC_DChg,1.0988853502885543,3.0
8,CC_DChg,1.0989123732118105,3.0
9,CC_DChg,1.0992886839997322,3.0
10,CC_DChg,1.0998639711702987,3.0
11,CC_DChg,1.098508653579681,3.0
12,CC_DChg,1.0980763521289996,3.0
13,CC_DChg,1.0938396747672454,3.0
14,CC_DChg,1.0953202237442918,3.0
15,CC_DChg,1.0987409371863366,3.0
16,CC_DChg,1.0996112316011943,3.0
17,CC_DChg,1.0991628200221502,3.0
18,CC_DChg,1.099232037460852,3.0
19,CC_DChg,1.0954546518957955,3.0
20,CC_DChg,1.0980111287682381,3.0
21,CC_DChg,1.0910609867050762,3.0
22,CC_DChg,1.095269796485719,3.0
23,CC_DChg,1.099670669723212,3.0
24,CC_DChg,1.0977536187969685,3.0
25,CC_DChg,1.0929438079450569,3.0
26,CC_DChg,1.0889672768164667,3.0
27,CC_DChg,1.0917763849168587,3.0
28,CC_DChg,1.0963882174683235,3.0
29,CC_DChg,1.0991213366584343,3.0
30,CC_DChg,1.0899158819380816,3.0
31,CC_DChg,1.085525608355843,3.0
32,CC_DChg,1.0983377070462355,3.0
33,CC_DChg,1.0928068200607057,3.0
34,CC_DChg,1.0925255367303501,3.0
35,CC_DChg,1.0901812209629087,3.0
36,CC_DChg,1.0852372223225941,3.0
37,CC_DChg,1.0988046716678734,3.0
38,CC_DChg,1.093605016176023,3.0
39,CC_DChg,1.0814155233991847,3.0
40,CC_DChg,1.0815052375729695,3.0
41,CC_DChg,1.0979217299452473,3.0
42,CC_DChg,1.0933087988532286,3.0
43,CC_DChg,1.0955119506507534,3.0
44,CC_DChg,1.0997557393629178,3.0
45,CC_DChg,1.0856228652189743,3.0
46,CC_DChg,1.0892017077000402,3.0
47,CC_DChg,1.0923380355560806,3.0
48,CC_DChg,1.0825357694781221,3.0
49,CC_DChg,1.082125159322398,3.0
50,CC_DChg,1.0891747607971245,3.0
51,CC_DChg,1.0870773521372286,3.0
52,CC_DChg,1.0871128102073917,3.0
53,CC_DChg,1.0949985989368176,3.0
54,CC_DChg,1.0910377704733873,3.0
55,CC_DChg,1.0977706470627593,3.0
56,CC_DChg,1.0795349975891455,3.0
57,CC_DChg,1.0776227206279891,3.0
58,CC_DChg,1.0836979018798099,3.0
59,CC_DChg,1.0868994854934093,3.0
60,CC_DChg,1.0919045303377168,3.0
61,CC_DChg,1.0784228778058618,3.0
62,CC_DChg,1.082103517800827,3.0
