Temperature(℃),HeatFlow(mW/mg)
30,0.0575
32,0.0694
34,0.0394
36,0.0654
38,0.0608
40,0.0462
42,0.0659
44,0.0457
46,0.0508
48,0.0584
50,0.0649
52,0.0444
54,0.0317
56,0.0449
58,0.0581
60,0.0326
62,0.0656
64,0.0362
66,0.0559
68,0.0736
70,0.0426
72,0.069
74,0.0632
76,0.0724
78,0.0973
80,0.0692
82,0.0975
84,0.0966
86,0.1237
88,0.1123
90,0.1442
92,0.1511
94,0.1561
96,0.1413
98,0.1656
100,0.1644
102,0.1472
104,0.1547
106,0.1226
108,0.1419
110,0.1298
112,0.1241
114,0.1166
116,0.1157
118,0.0923
120,0.0715
122,0.0871
124,0.0789
126,0.0861
128,0.0816
130,0.054
132,0.0485
134,0.0525
136,0.0568
138,0.041
140,0.0534
142,0.0481
144,0.0438
146,0.069
148,0.0562
150,0.0548
152,0.0619
154,0.0543
156,0.033
158,0.0335
160,0.0542
162,0.0402
164,0.0365
166,0.0612
168,0.0314
170,0.0653
172,0.0541
174,0.0412
176,0.0463
178,0.0536
180,0.0556
182,0.0526
184,0.0609
186,0.0533
188,0.0684
190,0.0354
192,0.0443
194,0.0683
196,0.0652
198,0.0366
200,0.0622
202,0.062
204,0.0424
206,0.0492
208,0.0365
210,0.0609
212,0.0415
214,0.0675
216,0.0351
218,0.059
220,0.0345
222,0.0475
224,0.0631
226,0.0333
228,0.0621
230,0.0402
232,0.0423
234,0.0559
236,0.0401
238,0.048
240,0.0601
242,0.042
244,0.0493
246,0.0517
248,0.0375
250,0.0563
252,0.0381
254,0.0581
256,0.0416
258,0.0453
260,0.0307
262,0.0677
264,0.0543
266,0.0315
268,0.0517
270,0.0421
272,0.0468
274,0.0339
276,0.0371
278,0.0462
280,0.0347
282,0.0434
284,0.0676
286,0.0597
288,0.0623
290,0.0469
292,0.0653
294,0.0614
296,0.061
298,0.0469
300,0.0471
302,0.0622
304,0.0608
306,0.0506
308,0.0459
310,0.0618
312,0.0672
314,0.057
316,0.0611
318,0.0315
320,0.0336
322,0.0345
324,0.0356
326,0.0591
328,0.0548
330,0.0636
332,0.0581
334,0.0656
336,0.0305
338,0.0669
340,0.0487
342,0.0497
344,0.0371
346,0.0349
348,0.0611
350,0.0577
