Time(s),T1_center(℃),T2_surface(℃),T3_tab(℃)
0,25,25,25
1,25,25,25
2,25,25,25
3,25,25,25
4,25,25,25
5,25,25,25
6,25,25,25
7,25,25,25
8,25,25,25
9,25,25,25
10,25,25,25
11,25,25,25
12,25,25,25
13,25,25,25
14,25,25,25
15,25,25,25
16,25,25,25
17,25,25,25
18,25,25,25
19,25,25,25
20,25,25,25
21,25,25,25
22,25,25,25
23,25,25,25
24,25,25,25
25,25,25,25
26,25,25,25
27,25,25,25
28,25,25,25
29,25,25,25
30,25,25,25
31,25,25,25
32,25,25,25
33,25,25,25
34,25,25,25
35,25,25,25
36,25,25,25
37,25,25,25
38,25,25,25
39,25,25,25
40,25,25,25
41,25,25,25
42,25,25,25
43,25,25,25
44,25,25,25
45,25,25,25
46,25,25,25
47,25,25,25
48,25,25,25
49,25,25,25
50,25,25,25
51,25,25,25
52,25,25,25
53,25,25,25
54,25,25,25
55,25,25,25
56,25,25,25
57,25,25,25
58,25,25,25
59,25,25,25
60,25,25,25
61,25,25,25
62,25,25,25
63,25,25,25
64,25,25,25
65,25,25,25
66,25,25,25
67,25,25,25
68,25,25,25
69,25,25,25
70,25,25,25
71,25,25,25
72,25,25,25
73,25,25,25
74,25,25,25
75,25,25,25
76,25,25,25
77,25,25,25
78,25,25,25
79,25,25,25
80,25,25,25
81,25,25,25
82,25,25,25
83,25,25,25
84,25,25,25
85,25,25,25
86,25,25,25
87,25,25,25
88,25,25,25
89,25,25,25
90,25,25,25
91,25,25,25
92,25,25,25
93,25,25,25
94,25,25,25
95,25,25,25
96,25,25,25
97,25,25,25
98,25,25,25
99,25,25,25
100,25,25,25
101,25,25,25
102,25,25,25
103,25,25,25
104,25,25,25
105,25,25,25
106,25,25,25
107,25,25,25
108,25,25,25
109,25,25,25
110,25,25,25
111,25,25,25
112,25,25,25
113,25,25,25
114,25,25,25
115,25,25,25
116,25,25,25
117,25,25,25
118,25,25,25
119,25,25,25
120,25,25,25
121,25,25,25
122,25,25,25
123,25,25,25
124,25,25,25
125,25,25,25
126,25,25,25
127,25,25,25
128,25,25,25
129,25,25,25
130,25,25,25
131,25,25,25
132,25,25,25
133,25,25,25
134,25,25,25
135,25,25,25
136,25,25,25
137,25,25,25
138,25,25,25
139,25,25,25
140,25,25,25
141,25,25,25
142,25,25,25
143,25,25,25
144,25,25,25
145,25,25,25
146,25,25,25
147,25,25,25
148,25,25,25
149,25,25,25
150,25,25,25
151,25,25,25
152,25,25,25
153,25,25,25
154,25,25,25
155,25,25,25
156,25,25,25
157,25,25,25
158,25,25,25
159,25,25,25
160,25,25,25
161,25,25,25
162,25,25,25
163,25,25,25
164,25,25,25
165,25,25,25
166,25,25,25
167,25,25,25
168,25,25,25
169,25,25,25
170,25,25,25
171,25,25,25
172,25,25,25
173,25,25,25
174,25,25,25
175,25,25,25
